movie_title,rating,user_rating,genres,plot_keyword,director,top_5_casts,writer,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Top Gun: Maverick,8.6,187K,"['Action', 'Drama']","['aviation', 'pilot', 'u.s. navy', 'sequel']",Joseph Kosinski,"['Jack Epps Jr.', 'Peter Craig', 'Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Jim Cash,187000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World Dominion,6.0,56K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'dinosaur', 'tyrannosaurus rex', 'sequel']",Colin Trevorrow,"['Colin Trevorrow', 'Derek Connolly', 'Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Emily Carmichael,56000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Top Gun,6.9,380K,"['Action', 'Drama']","['pilot', 'u.s. navy', 'rivalry']",Tony Scott,"['Jack Epps Jr.', 'Ehud Yonay', 'Tom Cruise', 'Tim Robbins', 'Kelly McGillis']",Jim Cash,380000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Everything Everywhere All at Once,8.3,124K,"['Action', 'Adventure', 'Comedy']","['nihilism', 'lgbt', 'multiverse', 'husband wife relationship', 'chinese', 'immigrant', 'mother daughter relationship']",Dan Kwan,"['Dan Kwan', 'Daniel Scheinert', 'Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",Daniel Scheinert,124000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Northman,7.2,128K,"['Action', 'Adventure', 'Drama']","['viking', 'female frontal nudity', 'female full frontal nudity', 'king', 'female pubic hair']",Robert Eggers,"['Robert Eggers', 'Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Robert Eggers']",Sjón,128000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Secrets of Dumbledore,6.2,100K,"['Action', 'Adventure', 'Fantasy']","['wizard', 'magic', 'lgbt', 'younger version of character', 'dark', 'killing an animal', 'based on novel']",David Yates,"['Steve Kloves', 'Eddie Redmayne', 'Jude Law', 'Ezra Miller', 'David Yates']",J.K. Rowling,100000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Unbearable Weight of Massive Talent,7.1,43K,"['Action', 'Comedy', 'Crime']","['bare chested male', 'american abroad', 'hero', 'black comedy']",Tom Gormican,"['Kevin Etten', 'Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish', 'Tom Gormican']",Tom Gormican,43000,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic Park,8.2,958K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'dinosaur', 'scientist', 'tyrannosaurus rex', 'national film registry', 'creature feature']",Steven Spielberg,"['David Koepp', 'Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Steven Spielberg']",Michael Crichton,958000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Doctor Strange in the Multiverse of Madness,7.2,236K,"['Action', 'Adventure', 'Fantasy']","['multiverse', 'based on comic', 'lovecraftian', 'superhero', 'marvel comics', 'sequel', 'second part']",Sam Raimi,"['Stan Lee', 'Steve Ditko', 'Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor']",Michael Waldron,236000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
No Time to Die,7.3,367K,"['Action', 'Adventure', 'Thriller']","['007', 'spy', 'shooting', 'official james bond series', 'espionage', 'secret agent', 'poison', 'james bond character']",Cary Joji Fukunaga,"['Robert Wade', 'Cary Joji Fukunaga', 'Daniel Craig', 'Ana de Armas', 'Rami Malek']",Neal Purvis,367000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Batman,7.9,521K,"['Action', 'Crime', 'Drama']","['bruce wayne character', 'based on comic', 'batman character', 'superhero', 'dc comics']",Matt Reeves,"['Peter Craig', 'Bill Finger', 'Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Matt Reeves,521000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World,6.9,629K,"['Action', 'Adventure', 'Sci-Fi']","['experiment gone wrong', 'jurassic park', 'pig', 'dinosaur', 'helicopter crash', 'disaster film', 'island']",Colin Trevorrow,"['Amanda Silver', 'Colin Trevorrow', 'Chris Pratt', 'Bryce Dallas Howard', 'Ty Simpkins']",Rick Jaffa,629000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jurassic World: Fallen Kingdom,6.1,306K,"['Action', 'Adventure', 'Sci-Fi']","['jurassic park', 'blockbuster', 'dinosaur', 'tyrannosaurus rex', 'clone', 'sequel', 'island', 'creature feature']",J.A. Bayona,"['Colin Trevorrow', 'Michael Crichton', 'Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall']",Derek Connolly,306000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vikram,8.8,24K,"['Action', 'Thriller']","['action hero', 'shootout', 'entertainer', 'investigator', 'violence']",Lokesh Kanagaraj,"['Rathna Kumar', 'Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil', 'Lokesh Kanagaraj']",Lokesh Kanagaraj,24000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
